coords,ground x,ground y,likelihood,endpoint x,endpoint y,likelihood,hMax x,hMax y,likelihood,vMax x,vMax y,likelihood
102,1016.598313,573.6035862,0.557526588,765.7043104,1059.915092,0.821591973,221.9863586,551.7566416,0.886091828,918.701791,1524.51426,0.894812584
103,213.8263975,543.168684,0.410446882,770.4524441,1064.780431,0.741170764,218.3067811,554.7476054,0.253155708,215.1176187,541.2674422,0.278885156
104,1016.161932,573.2037001,0.581844389,765.4437561,1061.798086,0.785500884,221.9753938,552.0808101,0.878282547,918.4315267,1525.057761,0.893244863
105,1016.08469,573.2714176,0.577658713,762.9183292,1061.548364,0.835487008,221.8981247,551.9387546,0.881342292,918.3452072,1525.150258,0.892540455
106,214.0377164,543.4922671,0.406495422,766.5877399,1063.581753,0.695241153,218.1747751,554.6775373,0.260839999,214.8777899,541.2179456,0.269458532
107,1015.947459,573.1721783,0.582415581,767.0310273,1062.053232,0.785315216,221.9477077,551.998292,0.882016957,918.518872,1524.943087,0.892881572
108,1015.9081,573.2699289,0.583338797,767.7814174,1061.904704,0.822913289,221.9705482,552.0372672,0.882591248,918.5302882,1524.861506,0.893120527
109,215.2680322,545.0600126,0.357673854,768.0003214,1061.409894,0.754239321,215.2277596,548.2821462,0.24146679,213.5858486,541.6050239,0.244898289
110,1015.694183,573.1325893,0.588878393,766.5883713,1061.409003,0.821655989,221.9361391,551.9070873,0.882315993,918.4740541,1524.90598,0.894518495
111,1015.622353,573.1315536,0.587047637,766.858748,1061.816083,0.795753181,221.9834833,551.8702769,0.881890893,918.3817725,1524.773045,0.894230366
112,213.9218804,542.7928009,0.378010094,769.648644,1064.532475,0.720791101,215.6915949,567.6314245,0.242758393,214.260461,540.9811778,0.279712379
113,1015.58347,573.1823893,0.59281987,766.1927514,1062.510397,0.774034262,222.0143437,552.0600204,0.879654825,918.5944643,1524.936575,0.895818532
114,1015.631512,573.2375107,0.589118958,766.4375839,1062.665509,0.775164366,221.986258,552.0983257,0.878786922,918.3375113,1524.943903,0.895154953
115,215.2935835,545.0026454,0.362227917,769.6031885,1062.757366,0.689299285,215.2403062,548.4166343,0.237949938,213.6090285,541.6681075,0.247126341
116,1015.816694,573.093462,0.594668984,767.1331139,1062.652055,0.777973115,221.9887896,551.9481542,0.879315495,918.3773706,1524.925933,0.893639147
117,1015.758254,573.1457682,0.589899838,766.941216,1062.724853,0.788897276,222.0568705,552.0611744,0.879125357,918.3902144,1525.034366,0.893504024
118,214.8784755,543.8842778,0.394313604,770.6325817,1065.273225,0.70675832,220.5301027,554.6423614,0.268898726,215.0371068,542.2719977,0.28107208
119,1015.632202,573.3092756,0.580319524,768.9735272,1063.625967,0.718677342,221.4915071,551.9946692,0.875303268,918.5512047,1524.91014,0.898208618
120,1015.657403,573.3988438,0.577463329,768.8687582,1063.474781,0.723690391,221.513411,552.1440425,0.869718313,918.5776196,1525.034826,0.898374736
121,213.977778,544.1630381,0.388723791,770.9244413,1065.0063,0.731679142,219.9114537,554.6689469,0.255329877,214.160519,541.8805966,0.270669013
122,1015.676811,573.1975422,0.583636224,767.0402765,1063.331544,0.71201092,221.550621,552.2944317,0.862219214,918.5583191,1525.084185,0.896059036
123,1015.646874,573.165802,0.580242395,767.2121124,1063.286723,0.707790971,221.580792,552.3565302,0.86149323,918.6226747,1525.107301,0.895811617
124,213.8843784,544.070487,0.396192551,770.9689269,1065.190533,0.738447905,215.8207409,568.9222589,0.252687782,214.2632545,541.9002399,0.273024321
125,1015.584684,573.2400446,0.57996732,769.6345792,1063.823263,0.719672143,221.5615869,552.1304998,0.865804791,918.7059186,1524.849567,0.890199423
126,1015.615102,573.2964449,0.575396359,769.696131,1063.774013,0.727800965,221.6041756,552.2919655,0.868353963,918.5596955,1524.934277,0.890621066
127,215.1257195,544.9846325,0.363082945,771.4036283,1063.657519,0.742758572,215.2527282,548.1841741,0.240732998,213.6058171,541.554132,0.246069908
128,1015.464171,573.3572388,0.578082323,767.7033925,1063.739729,0.7311818,221.6418958,552.4582672,0.866770029,918.3794258,1524.977759,0.890759289
129,1015.407884,573.4640036,0.578050673,767.9357448,1063.618995,0.74529779,221.541162,552.4197626,0.86726737,918.4347744,1525.171422,0.891778767
130,214.0250678,544.030439,0.390587091,772.3638582,1065.289869,0.760889411,219.8710265,554.5740024,0.267101169,214.3124923,541.8798051,0.273964018
